"campaignid","sample","count","level_1","level_2","level_3","level_4","level_5","level_6","level_7","level_8","family","genus","species","caab_code"
"2021-06-ApolloMP_stereoBRUVs","APO_010",9,"Biota","Ascidians",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5e+07
"2021-06-ApolloMP_stereoBRUVs","APO_010",7,"Biota","Bryozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,2e+07
"2021-06-ApolloMP_stereoBRUVs","APO_010",2,"Biota","Macroalgae",NA,NA,NA,NA,NA,NA,NA,NA,NA,80300000
"2021-06-ApolloMP_stereoBRUVs","APO_010",1,"Biota","Cnidaria","Corals","Black & Octocorals",NA,NA,NA,NA,NA,NA,NA,11168901
"2021-06-ApolloMP_stereoBRUVs","APO_011",16,"Biota","Ascidians",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5e+07
"2021-06-ApolloMP_stereoBRUVs","APO_011",4,"Biota","Bryozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,2e+07
"2021-06-ApolloMP_stereoBRUVs","APO_011",3,"Biota","Macroalgae",NA,NA,NA,NA,NA,NA,NA,NA,NA,80300000
"2021-06-ApolloMP_stereoBRUVs","APO_011",1,"Biota","Cnidaria","Corals","Black & Octocorals",NA,NA,NA,NA,NA,NA,NA,11168901
"2021-06-ApolloMP_stereoBRUVs","APO_011",1,"Biota","Sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+07
"2021-06-ApolloMP_stereoBRUVs","APO_012",17,"Biota","Ascidians",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5e+07
"2021-06-ApolloMP_stereoBRUVs","APO_012",3,"Biota","Bryozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,2e+07
"2021-06-ApolloMP_stereoBRUVs","APO_012",3,"Biota","Macroalgae",NA,NA,NA,NA,NA,NA,NA,NA,NA,80300000
